"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_6_month","GO","GO:0000221",0,889,29,35149,1,1
"18_month_vs_6_month","GO","GO:0000226",0,889,6,35149,1,1
"18_month_vs_6_month","GO","GO:0000228",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000256",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000266",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000271",0,889,4,35149,1,1
"18_month_vs_6_month","GO","GO:0000272",0,889,32,35149,1,1
"18_month_vs_6_month","GO","GO:0000281",0,889,3,35149,1,1
"18_month_vs_6_month","GO","GO:0000287",0,889,41,35149,1,1
"18_month_vs_6_month","GO","GO:0000290",0,889,3,35149,1,1
"18_month_vs_6_month","GO","GO:0000302",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000334",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000339",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000340",0,889,3,35149,1,1
"18_month_vs_6_month","GO","GO:0000350",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000372",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000381",0,889,7,35149,1,1
"18_month_vs_6_month","GO","GO:0000387",0,889,6,35149,1,1
"18_month_vs_6_month","GO","GO:0000408",0,889,8,35149,1,1
"18_month_vs_6_month","GO","GO:0000413",0,889,18,35149,1,1
"18_month_vs_6_month","GO","GO:0000423",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000444",0,889,10,35149,1,1
"18_month_vs_6_month","GO","GO:0000445",0,889,15,35149,1,1
"18_month_vs_6_month","GO","GO:0000446",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000462",0,889,5,35149,1,1
"18_month_vs_6_month","GO","GO:0000492",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000502",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000723",0,889,16,35149,1,1
"18_month_vs_6_month","GO","GO:0000724",0,889,4,35149,1,1
"18_month_vs_6_month","GO","GO:0000725",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000731",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000736",0,889,3,35149,1,1
"18_month_vs_6_month","GO","GO:0000742",0,889,1,35149,1,1
